File_Path,Type,Bond/Angle,Mean,Std,Count,Unit
lmp_2015/2000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.612,0.079,21600,Angstrom
lmp_2015/2000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.088,0.107,10803,Angstrom
lmp_2015/2000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.622,0.187,34051,Angstrom
lmp_2015/2000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,108.8,11.4,32400,degrees
lmp_2015/2000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,149.3,13.1,10800,degrees
lmp_2015/500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.58,0.038,21600,Angstrom
lmp_2015/500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.076,0.053,10800,Angstrom
lmp_2015/500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.575,0.087,32413,Angstrom
lmp_2015/500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.3,5.5,32400,degrees
lmp_2015/500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,154.6,7.9,10800,degrees
lmp_2015/1500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.602,0.068,21599,Angstrom
lmp_2015/1500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.084,0.092,10802,Angstrom
lmp_2015/1500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.602,0.158,33062,Angstrom
lmp_2015/1500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,108.9,10.0,32397,degrees
lmp_2015/1500k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,150.9,12.0,10799,degrees
lmp_2015/1000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.591,0.053,21600,Angstrom
lmp_2015/1000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.079,0.074,10800,Angstrom
lmp_2015/1000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.589,0.131,32743,Angstrom
lmp_2015/1000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.1,8.2,32400,degrees
lmp_2015/1000k/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,152.7,10.3,10800,degrees
