# All individual data points from all datasets
# Note: Adsorption energy has been multiplied by -1
# Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Folder
500	1 bar	0.0000	2.0000	2.119670	26.204635	RMD_Relax_500k_1atm
500	1 bar	0.0000	2.0000	2.071767	25.419489	RMD_Relax_500k_1atm
500	1 bar	0.0000	2.0000	2.023865	23.478227	RMD_Relax_500k_1atm
500	2.5 bar	0.3979	2.0000	1.916086	24.613495	RMD_Relax_500k_2.5atm
500	2.5 bar	0.3979	2.0000	1.916086	26.650037	RMD_Relax_500k_2.5atm
500	2.5 bar	0.3979	2.0000	1.808306	25.602456	RMD_Relax_500k_2.5atm
500	2.5 bar	0.3979	2.0000	1.952012	24.551190	RMD_Relax_500k_2.5atm
500	2.5 bar	0.3979	2.0000	2.119670	24.630271	RMD_Relax_500k_2.5atm
500	5 bar	0.6990	2.0000	1.856208	25.095967	RMD_Relax_500k_5atm
500	5 bar	0.6990	2.0000	2.071767	24.395539	RMD_Relax_500k_5atm
500	5 bar	0.6990	2.0000	1.975963	23.560014	RMD_Relax_500k_5atm
500	5 bar	0.6990	2.0000	1.940037	23.900159	RMD_Relax_500k_5atm
500	5 bar	0.6990	2.0000	1.844232	24.461240	RMD_Relax_500k_5atm
500	7.5 bar	0.8751	2.0000	1.868183	25.274346	RMD_Relax_500k_7.5atm
500	7.5 bar	0.8751	2.0000	1.975963	23.939291	RMD_Relax_500k_7.5atm
500	7.5 bar	0.8751	2.0000	1.987939	24.791014	RMD_Relax_500k_7.5atm
500	7.5 bar	0.8751	2.0000	1.844232	25.432245	RMD_Relax_500k_7.5atm
500	7.5 bar	0.8751	2.0000	1.952012	24.732210	RMD_Relax_500k_7.5atm
500	10 bar	1.0000	2.0000	2.059792	25.069641	RMD_Relax_500k_10atm
500	10 bar	1.0000	2.0000	2.011890	23.944415	RMD_Relax_500k_10atm
500	10 bar	1.0000	2.0000	1.987939	25.241375	RMD_Relax_500k_10atm
500	10 bar	1.0000	2.0000	1.987939	23.624437	RMD_Relax_500k_10atm
500	10 bar	1.0000	2.0000	1.987939	24.004770	RMD_Relax_500k_10atm
600	0.1 bar	-1.0000	1.6667	1.677020	30.368190	RMD_Relax_600k_0.1atm
600	0.1 bar	-1.0000	1.6667	1.688998	31.183405	RMD_Relax_600k_0.1atm
600	0.1 bar	-1.0000	1.6667	1.760871	33.024603	RMD_Relax_600k_0.1atm
600	0.1 bar	-1.0000	1.6667	1.665041	30.694032	RMD_Relax_600k_0.1atm
600	0.1 bar	-1.0000	1.6667	1.868679	32.000754	RMD_Relax_600k_0.1atm
600	0.25 bar	-0.6021	1.6667	1.724935	30.175568	RMD_Relax_600k_0.25atm
600	0.25 bar	-0.6021	1.6667	1.724935	32.975754	RMD_Relax_600k_0.25atm
600	0.25 bar	-0.6021	1.6667	1.808786	31.341560	RMD_Relax_600k_0.25atm
600	0.25 bar	-0.6021	1.6667	1.688998	29.796676	RMD_Relax_600k_0.25atm
600	0.25 bar	-0.6021	1.6667	1.748892	30.277435	RMD_Relax_600k_0.25atm
600	0.5 bar	-0.3010	1.6667	1.784828	29.223250	RMD_Relax_600k_0.5atm
600	0.5 bar	-0.3010	1.6667	1.940551	27.969896	RMD_Relax_600k_0.5atm
600	0.5 bar	-0.3010	1.6667	2.000445	29.058751	RMD_Relax_600k_0.5atm
600	0.5 bar	-0.3010	1.6667	1.712956	28.206516	RMD_Relax_600k_0.5atm
600	0.5 bar	-0.3010	1.6667	1.856700	31.159483	RMD_Relax_600k_0.5atm
600	0.75 bar	-0.1249	1.6667	1.724935	30.885723	RMD_Relax_600k_0.75atm
600	0.75 bar	-0.1249	1.6667	1.724935	30.801027	RMD_Relax_600k_0.75atm
600	0.75 bar	-0.1249	1.6667	1.832743	29.003479	RMD_Relax_600k_0.75atm
600	0.75 bar	-0.1249	1.6667	1.844722	27.944434	RMD_Relax_600k_0.75atm
600	0.75 bar	-0.1249	1.6667	1.808786	30.213150	RMD_Relax_600k_0.75atm
600	1 bar	0.0000	1.6667	1.700977	30.394913	RMD_Relax_600k_1atm
600	1 bar	0.0000	1.6667	1.868679	29.378770	RMD_Relax_600k_1atm
600	1 bar	0.0000	1.6667	1.916594	27.894208	RMD_Relax_600k_1atm
600	1 bar	0.0000	1.6667	1.796807	29.834405	RMD_Relax_600k_1atm
600	1 bar	0.0000	1.6667	1.784828	28.634871	RMD_Relax_600k_1atm
600	2.5 bar	0.3979	1.6667	1.820764	27.766466	RMD_Relax_600k_2.5atm
600	2.5 bar	0.3979	1.6667	1.712956	33.929150	RMD_Relax_600k_2.5atm
600	2.5 bar	0.3979	1.6667	1.724935	32.337232	RMD_Relax_600k_2.5atm
600	2.5 bar	0.3979	1.6667	1.760871	29.213470	RMD_Relax_600k_2.5atm
600	2.5 bar	0.3979	1.6667	1.856700	29.362049	RMD_Relax_600k_2.5atm
600	5 bar	0.6990	1.6667	1.892636	29.196723	RMD_Relax_600k_5atm
600	5 bar	0.6990	1.6667	1.820764	28.738971	RMD_Relax_600k_5atm
600	5 bar	0.6990	1.6667	1.940551	28.872142	RMD_Relax_600k_5atm
600	5 bar	0.6990	1.6667	1.856700	27.865825	RMD_Relax_600k_5atm
600	5 bar	0.6990	1.6667	1.892636	28.411889	RMD_Relax_600k_5atm
600	7.5 bar	0.8751	1.6667	1.892636	28.426652	RMD_Relax_600k_7.5atm
600	7.5 bar	0.8751	1.6667	1.892636	29.381909	RMD_Relax_600k_7.5atm
600	7.5 bar	0.8751	1.6667	1.772849	31.665468	RMD_Relax_600k_7.5atm
600	7.5 bar	0.8751	1.6667	1.904615	29.101504	RMD_Relax_600k_7.5atm
600	7.5 bar	0.8751	1.6667	1.916594	29.688858	RMD_Relax_600k_7.5atm
600	10 bar	1.0000	1.6667	1.820764	30.392502	RMD_Relax_600k_10atm
600	10 bar	1.0000	1.6667	1.976487	29.250740	RMD_Relax_600k_10atm
600	10 bar	1.0000	1.6667	2.036381	28.656016	RMD_Relax_600k_10atm
600	10 bar	1.0000	1.6667	1.916594	29.394295	RMD_Relax_600k_10atm
600	10 bar	1.0000	1.6667	2.012424	27.944560	RMD_Relax_600k_10atm
700	0.1 bar	-1.0000	1.4286	1.532256	33.637650	RMD_Relax_700k_0.1atm
700	0.1 bar	-1.0000	1.4286	1.556198	32.276038	RMD_Relax_700k_0.1atm
700	0.1 bar	-1.0000	1.4286	1.568169	31.622249	RMD_Relax_700k_0.1atm
