# All individual data points from all datasets
# Note: Adsorption energy has been multiplied by -1
# Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Folder
500	2.5 bar	0.3979	2.0000	4.923409	2.907811	RMD_Relax_500k_2.5atm
500	2.5 bar	0.3979	2.0000	4.683243	2.840381	RMD_Relax_500k_2.5atm
500	2.5 bar	0.3979	2.0000	4.719268	2.800900	RMD_Relax_500k_2.5atm
500	5 bar	0.6990	2.0000	4.839351	2.939859	RMD_Relax_500k_5atm
500	5 bar	0.6990	2.0000	4.803326	2.939754	RMD_Relax_500k_5atm
500	5 bar	0.6990	2.0000	4.683243	2.778407	RMD_Relax_500k_5atm
500	5 bar	0.6990	2.0000	4.959434	2.835636	RMD_Relax_500k_5atm
500	5 bar	0.6990	2.0000	5.115542	2.874146	RMD_Relax_500k_5atm
500	7.5 bar	0.8751	2.0000	4.899393	3.010513	RMD_Relax_500k_7.5atm
500	7.5 bar	0.8751	2.0000	4.971443	2.896358	RMD_Relax_500k_7.5atm
500	7.5 bar	0.8751	2.0000	4.935418	3.007777	RMD_Relax_500k_7.5atm
500	7.5 bar	0.8751	2.0000	4.947426	2.885213	RMD_Relax_500k_7.5atm
500	7.5 bar	0.8751	2.0000	4.815334	2.973805	RMD_Relax_500k_7.5atm
500	10 bar	1.0000	2.0000	4.923409	2.872382	RMD_Relax_500k_10atm
500	10 bar	1.0000	2.0000	4.911401	2.932717	RMD_Relax_500k_10atm
500	10 bar	1.0000	2.0000	4.851359	2.780573	RMD_Relax_500k_10atm
500	10 bar	1.0000	2.0000	4.899393	2.811318	RMD_Relax_500k_10atm
500	10 bar	1.0000	2.0000	4.839351	2.926724	RMD_Relax_500k_10atm
600	0.1 bar	-1.0000	1.6667	3.985257	2.901043	RMD_Relax_600k_0.1atm
600	0.1 bar	-1.0000	1.6667	4.009193	2.793580	RMD_Relax_600k_0.1atm
600	0.1 bar	-1.0000	1.6667	3.829677	2.742428	RMD_Relax_600k_0.1atm
600	0.1 bar	-1.0000	1.6667	3.793774	2.771561	RMD_Relax_600k_0.1atm
